destination,number_of_days,number_of_people,travel_mode,travel_type,destination_count,estimated_food_cost,actual_food_cost,estimated_total_cost,actual_total_cost,source_role,trip_id,created_at_utc
singapore,11,2,bus,couple,1,17979.65,22526.37,187659.92,184772.44,traveler,166,2024-01-01T19:15:00+00:00
dubai,3,7,train,family,3,13094.98,13568.56,206261.14,191248.17,agent,167,2024-01-01T19:22:00+00:00
paris,12,3,train,friends,1,28042.71,32709.94,542745.17,632229.06,traveler,168,2024-01-01T19:29:00+00:00
goa,7,7,train,friends,1,23892.78,19866.64,117608.17,121961.69,traveler,169,2024-01-01T19:36:00+00:00
mumbai,12,3,flight,family,1,29359.17,29669.18,92160.51,107473.48,agent,170,2024-01-01T19:43:00+00:00
new york,2,1,train,solo,1,2234.47,2375.51,31916.59,37463.56,traveler,171,2024-01-01T19:50:00+00:00
bali,5,7,train,family,1,22322.78,27255.6,353731.0,363395.24,traveler,172,2024-01-01T19:57:00+00:00
jaipur,8,6,flight,family,2,28387.01,33755.93,97222.4,94130.66,traveler,173,2024-01-01T20:04:00+00:00
bali,9,6,train,family,1,39700.89,35243.35,522186.42,501542.5,agent,174,2024-01-01T20:11:00+00:00
goa,12,8,bus,family,1,56554.15,44195.62,190868.95,217658.12,traveler,175,2024-01-01T20:18:00+00:00
singapore,7,7,train,family,1,36694.89,41235.89,510754.08,463365.52,traveler,176,2024-01-01T20:25:00+00:00
bali,8,2,flight,friends,1,11350.12,9881.5,211319.43,193287.91,agent,177,2024-01-01T20:32:00+00:00
delhi,3,1,train,solo,1,2248.02,2310.17,5395.96,6031.85,traveler,178,2024-01-01T20:39:00+00:00
new york,2,6,train,family,1,12114.74,9722.68,190923.61,213701.48,agent,179,2024-01-01T20:46:00+00:00
singapore,10,2,train,couple,1,18145.27,14727.23,201353.02,208222.17,traveler,180,2024-01-01T20:53:00+00:00
mumbai,3,6,train,family,1,12594.31,10304.86,38916.84,35905.51,traveler,181,2024-01-01T21:00:00+00:00
jaipur,5,5,flight,family,1,16157.32,17209.89,53041.48,52566.86,agent,182,2024-01-01T21:07:00+00:00
bali,3,1,flight,solo,1,2756.47,3017.85,44912.04,41668.04,traveler,183,2024-01-01T21:14:00+00:00
paris,9,4,train,family,2,36592.38,42258.23,551507.26,529560.83,traveler,184,2024-01-01T21:21:00+00:00
dubai,9,6,flight,family,1,37150.01,37013.09,620861.41,575305.1,traveler,185,2024-01-01T21:28:00+00:00
bali,10,2,flight,friends,1,13787.9,17372.09,261361.16,240137.94,agent,186,2024-01-01T21:35:00+00:00
manali,11,3,flight,friends,1,19188.1,23066.4,80668.94,85168.96,traveler,187,2024-01-01T21:42:00+00:00
mumbai,8,4,bus,friends,1,15414.68,14857.76,52665.85,57210.67,agent,188,2024-01-01T21:49:00+00:00
dubai,7,2,train,friends,2,8722.52,9526.86,123585.01,123394.8,traveler,189,2024-01-01T21:56:00+00:00
bali,7,1,flight,solo,1,6642.26,5955.5,93836.0,87295.74,agent,190,2024-01-01T22:03:00+00:00
paris,3,5,train,family,2,14275.1,17126.63,262316.27,298160.07,agent,191,2024-01-01T22:10:00+00:00
bali,8,5,flight,friends,2,28290.83,22453.08,529494.49,614289.64,agent,192,2024-01-01T22:17:00+00:00
bali,4,8,bus,family,1,19829.08,18652.66,288160.56,286763.24,traveler,193,2024-01-01T22:24:00+00:00
bali,9,7,flight,friends,2,39772.71,33956.94,819346.75,882672.56,traveler,194,2024-01-01T22:31:00+00:00
dubai,8,5,train,friends,1,19664.49,18824.15,342327.64,343565.11,traveler,195,2024-01-01T22:38:00+00:00
paris,10,1,flight,solo,3,12599.57,10384.28,205618.57,188085.57,traveler,196,2024-01-01T22:45:00+00:00
manali,11,1,train,solo,2,7645.24,7045.04,19560.88,21230.26,traveler,197,2024-01-01T22:52:00+00:00
new york,2,8,flight,family,1,16548.76,13887.47,339542.17,346460.62,traveler,198,2024-01-01T22:59:00+00:00
paris,11,3,bus,family,1,29940.2,24060.45,434734.12,439374.36,traveler,199,2024-01-01T23:06:00+00:00
paris,7,3,train,friends,1,15188.16,12930.62,334654.04,325131.61,traveler,200,2024-01-01T23:13:00+00:00
bali,9,4,bus,friends,2,19735.43,19295.48,291633.91,319930.55,traveler,201,2024-01-01T23:20:00+00:00
jaipur,2,7,flight,friends,2,6346.65,7794.43,34761.27,31696.88,traveler,202,2024-01-01T23:27:00+00:00
tokyo,10,4,train,family,3,29106.99,31382.22,546091.62,599968.86,traveler,203,2024-01-01T23:34:00+00:00
bali,7,2,train,couple,1,9874.89,11817.16,137394.08,147434.16,agent,204,2024-01-01T23:41:00+00:00
goa,6,1,flight,solo,4,5503.38,6709.35,19815.49,19183.94,traveler,205,2024-01-01T23:48:00+00:00
singapore,2,4,bus,friends,1,4971.34,4755.32,86686.15,86101.82,traveler,206,2024-01-01T23:55:00+00:00
jaipur,12,5,train,family,1,33359.27,41735.12,88316.21,88124.13,traveler,207,2024-01-02T00:02:00+00:00
bali,9,3,bus,family,3,20534.4,17580.55,223176.47,213186.22,traveler,208,2024-01-02T00:09:00+00:00
tokyo,7,6,train,friends,2,20074.53,23725.71,588747.26,611327.35,agent,209,2024-01-02T00:16:00+00:00
new york,9,6,bus,friends,1,39470.33,42372.81,586479.68,632156.79,traveler,210,2024-01-02T00:23:00+00:00
dubai,6,2,train,friends,2,6566.77,5355.26,105217.46,107723.56,traveler,211,2024-01-02T00:30:00+00:00
manali,4,4,train,friends,1,7604.44,7158.91,31882.69,32728.73,traveler,212,2024-01-02T00:37:00+00:00
singapore,3,2,flight,friends,1,5394.23,6606.6,94097.23,100891.27,traveler,213,2024-01-02T00:44:00+00:00
bali,8,4,flight,friends,2,23997.73,29897.72,421606.31,432536.64,agent,214,2024-01-02T00:51:00+00:00
delhi,8,7,bus,family,1,30932.9,26554.28,76267.43,69961.99,traveler,215,2024-01-02T00:58:00+00:00
bali,5,7,flight,friends,1,22116.45,23053.42,481706.25,456809.98,traveler,216,2024-01-02T01:05:00+00:00
dubai,12,6,flight,family,1,50086.28,43201.82,817020.71,820614.42,traveler,217,2024-01-02T01:12:00+00:00
dubai,9,2,bus,couple,1,10522.19,12525.59,130930.2,141567.69,traveler,218,2024-01-02T01:19:00+00:00
singapore,3,2,flight,couple,2,5856.14,6771.7,94365.82,102277.26,agent,219,2024-01-02T01:26:00+00:00
tokyo,11,4,train,family,1,29139.11,24871.48,602312.25,601077.4,agent,220,2024-01-02T01:33:00+00:00
jaipur,4,3,bus,family,1,6671.29,8457.6,16776.44,16553.03,traveler,221,2024-01-02T01:40:00+00:00
manali,2,3,train,family,2,4027.12,4877.08,13597.18,15050.13,traveler,222,2024-01-02T01:47:00+00:00
bali,8,8,train,family,2,43302.94,41923.77,622217.31,623167.65,traveler,223,2024-01-02T01:54:00+00:00
singapore,9,6,train,family,4,50859.71,45661.97,543454.39,510041.89,traveler,224,2024-01-02T02:01:00+00:00
singapore,10,8,flight,friends,1,57034.47,69254.81,1099782.46,1261924.49,traveler,225,2024-01-02T02:08:00+00:00
dubai,6,4,bus,friends,3,11792.78,11508.51,178709.91,168957.57,agent,226,2024-01-02T02:15:00+00:00
mumbai,12,8,train,friends,3,47927.52,48291.3,183070.49,185823.95,traveler,227,2024-01-02T02:22:00+00:00
new york,3,6,train,family,1,16379.47,19151.52,260163.53,266849.69,traveler,228,2024-01-02T02:29:00+00:00
dubai,6,7,bus,family,3,24750.03,30052.95,315208.56,316152.76,agent,229,2024-01-02T02:36:00+00:00
tokyo,8,8,train,friends,1,27423.81,26836.22,910616.31,954042.46,agent,230,2024-01-02T02:43:00+00:00
delhi,2,7,flight,friends,2,7513.09,6836.92,37181.77,40138.84,agent,231,2024-01-02T02:50:00+00:00
paris,10,8,flight,family,1,76863.83,93974.21,1678003.41,1644137.35,agent,232,2024-01-02T02:57:00+00:00
jaipur,4,7,bus,family,3,13769.0,13872.07,39196.09,45663.28,traveler,233,2024-01-02T03:04:00+00:00
goa,2,1,flight,solo,1,1666.62,1323.08,7951.81,7275.21,traveler,234,2024-01-02T03:11:00+00:00
bali,8,6,bus,family,5,36626.19,29105.28,395673.36,459230.87,agent,235,2024-01-02T03:18:00+00:00
tokyo,11,4,train,family,3,29799.96,27689.44,613365.49,694534.13,traveler,236,2024-01-02T03:25:00+00:00
paris,11,4,bus,friends,2,30887.41,24176.52,568073.2,523867.57,traveler,237,2024-01-02T03:32:00+00:00
singapore,12,7,train,friends,2,57010.38,60114.09,837932.34,780225.88,traveler,238,2024-01-02T03:39:00+00:00
goa,9,5,train,family,1,29983.4,35765.02,107685.0,110699.3,traveler,239,2024-01-02T03:46:00+00:00
