destination,number_of_days,number_of_people,travel_mode,estimated_cost
Delhi,8,2,train,26029.76
Goa,10,5,train,115753.33
New York,12,5,train,757768.5
Paris,4,8,train,538544.45
New York,11,7,train,982694.54
Mumbai,3,7,train,46008.05
Singapore,4,1,bus,37941.51
Singapore,9,1,bus,76912.07
Singapore,7,6,train,441929.7
Mumbai,11,3,flight,84800.91
New York,7,8,bus,625624.35
Bali,7,7,train,484112.42
Jaipur,3,1,flight,6833.53
Bali,8,2,train,156984.36
Tokyo,5,5,flight,501982.05
Tokyo,5,2,bus,126186.67
Tokyo,4,8,bus,414889.19
New York,12,6,flight,1213531.73
Bali,6,5,bus,255978.79
Singapore,4,6,flight,354857.36
Jaipur,4,4,train,25669.93
Bali,11,6,train,634831.01
Bali,4,2,bus,70737.96
Tokyo,10,7,train,978550.93
Delhi,4,6,flight,55775.74
Tokyo,12,6,bus,848204.8
Bali,12,3,bus,289730.64
Mumbai,3,3,train,19511.71
New York,5,6,flight,555686.56
Delhi,6,4,flight,54602.44
Manali,4,5,flight,53412.34
Bali,12,3,flight,467201.15
Goa,4,6,flight,81722.46
Mumbai,3,1,flight,8941.61
Manali,12,4,flight,115836.4
Singapore,2,8,flight,272261.76
Singapore,6,8,bus,433516.73
Singapore,8,5,train,405611.36
Mumbai,4,8,train,66928.36
Jaipur,7,3,train,32478.44
New York,7,7,bus,550481.33
Bali,10,2,train,190214.73
Delhi,6,8,bus,67099.22
Mumbai,6,7,flight,112838.69
Goa,7,6,bus,86510.53
Tokyo,10,8,train,1120195.93
Tokyo,2,2,train,68911.25
Jaipur,5,6,bus,39797.05
Tokyo,11,8,train,1212933.64
Delhi,8,3,train,39190.67
Paris,7,1,train,109431.36
Bali,5,6,flight,409272.85
Paris,10,8,flight,1656768.61
Dubai,12,2,bus,174492.0
Paris,7,6,flight,910324.26
Goa,5,7,flight,115843.4
Mumbai,4,6,train,50249.13
Goa,11,3,train,77885.04
New York,4,7,flight,531095.86
Manali,11,6,flight,162000.43
Bali,9,5,train,438363.42
New York,7,2,train,184061.03
Singapore,2,8,train,204222.04
Dubai,11,4,flight,496506.18
Tokyo,4,7,bus,363148.33
Jaipur,2,2,bus,6215.98
New York,8,3,train,313179.65
Paris,10,8,flight,1679167.77
Goa,10,4,flight,125857.95
Singapore,9,7,train,650516.99
Tokyo,10,6,flight,1116542.73
Singapore,12,5,flight,810796.27
Jaipur,6,5,bus,40091.55
Manali,6,4,flight,61422.42
New York,9,6,flight,950184.07
Manali,6,2,flight,30685.23
Paris,8,6,bus,635646.28
Manali,3,6,train,37404.21
Tokyo,5,4,flight,393906.73
Bali,6,3,bus,153147.13
Dubai,5,4,bus,154463.0
Bali,5,4,bus,170816.35
New York,9,2,flight,315199.73
Mumbai,10,3,train,57773.79
Tokyo,9,4,train,499107.86
Singapore,2,2,flight,68123.67
Bali,2,3,train,72370.49
Goa,2,7,train,40425.95
Manali,2,1,train,5000
Delhi,7,5,train,58216.86
Bali,10,8,bus,658644.41
Tokyo,6,4,bus,292436.99
Tokyo,12,5,flight,1099587.58
New York,6,4,bus,272223.13
Singapore,8,7,flight,772545.02
Paris,12,2,bus,316328.51
Tokyo,7,4,bus,335703.43
Jaipur,9,5,train,67148.64
Dubai,2,5,flight,142497.06
Jaipur,2,2,train,7377.0
Paris,12,5,flight,1223908.21
Manali,7,4,bus,44823.69
Tokyo,4,8,flight,662434.28
New York,8,8,flight,1131196.45
Jaipur,5,2,flight,21322.88
New York,3,2,bus,75194.42
Bali,5,3,bus,128998.87
Bali,9,2,flight,232422.54
Dubai,9,2,flight,208099.09
Mumbai,9,3,flight,70170.01
Dubai,2,8,flight,231068.14
Mumbai,8,5,bus,66660.46
Dubai,3,1,train,29063.81
Delhi,10,1,bus,13776.78
Tokyo,2,5,train,170596.3
Goa,12,7,train,197690.4
Paris,9,7,train,967140.96
Singapore,10,3,flight,414187.67
Delhi,4,7,flight,65176.86
Jaipur,2,1,train,5000
Bali,8,7,bus,459698.87
New York,4,5,bus,240261.96
Delhi,2,7,flight,37863.57
Mumbai,5,4,bus,34163.99
Mumbai,9,1,bus,14871.04
Paris,9,4,flight,749186.1
Mumbai,4,5,bus,35909.5
Dubai,7,6,bus,310263.8
Goa,12,4,train,110653.75
Mumbai,10,3,flight,78054.84
Bali,9,1,train,88000.55
Singapore,8,6,flight,663946.63
Goa,6,7,bus,87712.9
Tokyo,5,4,train,296951.37
Goa,9,1,flight,28585.42
Paris,10,3,train,459701.18
Jaipur,7,2,train,21643.07
Delhi,10,4,bus,53937.72
Singapore,11,1,bus,93193.68
Dubai,12,4,train,401264.75
New York,6,1,bus,68719.58
Delhi,9,4,flight,78409.82
Jaipur,8,4,flight,65044.04
Manali,8,8,flight,159522.57
Manali,6,6,flight,92622.13
Tokyo,3,8,train,384318.4
New York,7,7,bus,547234.55
Jaipur,4,1,train,6520.41
Dubai,11,7,train,645597.0
New York,5,7,flight,647117.66
Tokyo,10,6,train,837263.21
Tokyo,12,8,train,1302505.85
New York,4,3,flight,226305.57
Goa,10,1,flight,31188.14
Delhi,12,1,bus,16086.36
Singapore,5,2,flight,143405.29
Jaipur,10,8,train,117707.11
Singapore,12,8,flight,1297417.09
Mumbai,10,7,bus,112407.81
Manali,10,5,bus,76951.37
Singapore,8,3,bus,212174.27
Bali,4,4,bus,142801.31
Manali,7,5,train,64203.77
Paris,9,4,flight,749380.77
Singapore,3,1,bus,29390.0
Paris,10,8,bus,1054397.93
Goa,3,8,train,64519.27
New York,11,2,flight,382206.4
Jaipur,5,8,train,62419.19
Delhi,12,5,flight,128325.28
Mumbai,4,6,bus,43277.96
Dubai,4,7,bus,220007.16
Dubai,5,7,flight,432221.16
New York,8,3,flight,423217.08
Bali,7,1,bus,58412.05
Delhi,7,7,train,79191.52
Manali,9,8,bus,111071.45
Paris,8,3,flight,509279.91
Paris,3,5,bus,226369.29
Delhi,6,3,train,30115.03
Singapore,4,7,train,307932.75
Delhi,2,5,train,19791.48
Manali,3,3,bus,15674.36
Tokyo,10,7,bus,812069.86
New York,10,2,flight,346074.93
New York,8,1,train,103531.6
Delhi,10,4,flight,86319.62
Singapore,8,3,bus,208093.59
Manali,9,3,bus,41415.1
Manali,8,5,train,74148.49
New York,6,4,flight,432536.39
Dubai,11,4,train,368404.38
Manali,2,7,train,31858.18
Paris,7,8,train,885552.87
Singapore,11,3,train,330238.69
Jaipur,9,6,bus,69861.29
New York,6,8,flight,869130.5
New York,8,5,train,516898.29
Dubai,5,3,flight,184529.7
Mumbai,9,4,train,70100.5
Delhi,8,8,bus,88582.93
Jaipur,6,3,flight,37618.55
Paris,3,8,flight,571233.92
Paris,10,7,flight,1439036.07
New York,10,2,bus,219012.99
Singapore,12,6,bus,615595.35
Mumbai,11,7,train,148840.88
Paris,3,1,bus,44660.65
Bali,10,4,train,381952.12
Tokyo,12,3,train,500716.25
Tokyo,3,5,train,240243.25
Delhi,3,3,train,16332.31
Tokyo,5,8,train,587179.79
Tokyo,9,6,bus,635961.3
Delhi,2,6,flight,31820.17
Goa,5,3,flight,49828.22
Bali,8,8,bus,534108.78
Singapore,4,3,flight,179753.06
Paris,2,4,train,154125.15
Paris,2,4,bus,129776.26
Delhi,11,2,flight,46739.4
New York,5,8,bus,457753.06
Tokyo,10,6,flight,1117698.45
Paris,11,2,train,336349.79
Tokyo,11,3,flight,617162.93
Manali,11,2,flight,52886.28
Delhi,5,5,bus,35676.26
Goa,10,7,train,164484.44
Dubai,8,7,bus,411575.35
Bali,12,3,flight,456484.33
Manali,4,3,train,23958.31
Dubai,2,6,bus,108070.08
Jaipur,8,8,train,97416.8
Paris,9,8,bus,939577.46
Mumbai,5,5,bus,42930.56
Bali,6,3,train,179903.63
Tokyo,10,2,flight,369488.54
Bali,7,1,flight,92784.01
Jaipur,8,2,flight,33020.77
Jaipur,6,1,train,9243.75
Delhi,9,2,bus,24393.32
Dubai,7,7,bus,365408.86
Jaipur,5,1,flight,10630.71
Manali,11,3,train,60268.79
Manali,6,5,flight,77420.16
Singapore,3,3,train,105331.87
Manali,12,3,flight,88051.76
Jaipur,4,6,bus,33461.44
Singapore,8,8,bus,560087.94
Manali,12,7,train,150318.19
Singapore,3,7,flight,330134.4
New York,9,8,train,928677.71
Delhi,9,6,bus,74477.33
Paris,5,7,bus,487376.46
New York,6,6,flight,647891.24
Dubai,9,6,flight,630239.78
Mumbai,3,8,bus,44172.37
Goa,9,8,bus,146494.11
Paris,5,3,flight,329824.04
Manali,3,6,train,36763.61
Singapore,12,3,bus,305493.28
Manali,5,7,flight,89654.08
Delhi,2,4,train,15698.68
Dubai,5,8,bus,302823.94
New York,3,7,flight,409342.61
Delhi,5,7,bus,50775.35
Delhi,3,6,train,33225.46
Goa,8,3,flight,78211.25
Goa,3,1,flight,10889.29
Tokyo,7,4,flight,541029.83
Paris,11,8,bus,1134446.98
Delhi,4,2,flight,18962.45
New York,8,6,bus,525374.49
Singapore,3,4,flight,187812.35
Dubai,6,1,flight,72629.76
Jaipur,10,4,flight,80252.53
Singapore,2,4,train,100355.26
Jaipur,9,2,flight,36902.39
Mumbai,7,6,bus,69988.59
Dubai,8,6,flight,563596.28
Tokyo,3,1,flight,63226.42
Manali,5,1,bus,8274.14
Paris,10,5,flight,1049017.89
Paris,8,7,bus,749425.15
Bali,11,3,train,310620.61
Delhi,10,4,bus,54374.3
Paris,11,2,train,339863.68
Jaipur,2,4,bus,12774.69
Delhi,9,1,train,14547.12
Singapore,4,2,bus,75565.88
Mumbai,4,8,train,67006.21
Manali,4,6,bus,40617.6
Manali,3,1,train,6262.17
Manali,10,2,train,36440.65
Dubai,12,2,train,202127.96
New York,2,8,flight,340007.81
Goa,6,2,flight,39707.34
Delhi,5,1,bus,7281.27
Mumbai,5,1,train,10128.5
Goa,4,1,flight,13936.09
Singapore,8,4,train,326217.62
New York,6,2,flight,214637.86
Bali,12,1,bus,95968.86
Bali,2,7,bus,143512.44
Manali,6,6,bus,57747.33
Mumbai,7,4,train,55185.43
Manali,11,4,train,78906.94
Tokyo,5,4,bus,246031.83
Paris,2,4,flight,206539.01
Mumbai,7,1,flight,18520.5
Manali,3,4,flight,33992.63
Paris,9,1,bus,119691.44
Delhi,2,4,flight,21409.01
New York,9,2,flight,308866.59
Goa,12,7,bus,166045.01
Mumbai,8,3,bus,39455.36
New York,8,6,train,621917.33
Jaipur,3,4,bus,17519.91
Dubai,3,3,bus,73710.28
Tokyo,7,7,bus,592365.23
Jaipur,9,5,train,67073.79
Delhi,3,3,flight,22043.51
Dubai,2,4,train,83905.34
Jaipur,7,7,flight,99839.99
Manali,6,3,bus,29218.74
Tokyo,10,4,bus,470193.98
Goa,3,1,bus,6893.15
Jaipur,4,4,train,25940.19
Singapore,12,2,flight,325310.8
Delhi,2,2,bus,6839.1
Tokyo,4,2,train,119530.91
Tokyo,2,3,flight,139242.71
Paris,9,1,train,140694.08
Goa,7,4,bus,56835.72
Tokyo,4,1,flight,81899.27
Jaipur,12,5,train,88316.21
Bali,9,1,bus,73334.78
Goa,8,4,flight,103947.83
Bali,5,1,train,51280.06
New York,9,8,train,937869.12
Bali,7,7,train,477320.62
New York,11,4,bus,480963.45
Manali,2,8,flight,48445.91
Dubai,5,3,bus,114388.14
Jaipur,6,1,bus,7931.47
Paris,7,3,bus,280623.19
New York,7,1,flight,124675.67
Dubai,11,3,flight,382537.24
Tokyo,10,5,bus,588243.68
Delhi,2,4,flight,21283.93
Bali,9,1,train,87938.83
Jaipur,4,6,flight,52220.76
New York,2,1,bus,27100.23
Goa,3,6,bus,40797.69
Singapore,8,2,train,163372.6
Goa,4,7,flight,98009.51
Singapore,7,3,flight,298472.76
Dubai,7,4,flight,331361.89
Goa,8,5,flight,129178.89
Goa,4,1,flight,13996.4
Paris,11,1,bus,144027.3
Dubai,5,2,train,89425.42
Delhi,5,6,train,50343.36
Delhi,12,6,train,112181.17
Jaipur,5,2,train,15704.51
Delhi,2,1,train,5000
Paris,4,7,train,477380.59
New York,10,7,bus,767910.84
Dubai,12,4,bus,343577.17
Mumbai,6,1,train,11884.22
Delhi,3,6,bus,28247.46
Goa,3,2,train,16105.3
Dubai,9,1,train,78224.7
Goa,11,7,bus,150456.04
New York,5,4,train,272804.39
Bali,6,5,train,296893.84
Mumbai,8,8,bus,104460.98
Mumbai,8,2,train,31442.58
Singapore,11,8,bus,743490.89
Jaipur,4,5,bus,27645.56
Delhi,6,7,train,69802.16
Singapore,6,2,flight,170798.3
Goa,7,7,train,116702.29
Mumbai,6,8,train,95080.3
Manali,11,1,bus,16961.64
Singapore,3,2,flight,93183.76
Bali,8,4,flight,414853.26
Paris,10,7,flight,1467505.99
Tokyo,11,4,train,602144.34
Paris,2,3,bus,99304.34
Tokyo,4,3,bus,155573.95
Goa,2,7,bus,35196.63
Paris,5,3,flight,329386.28
Delhi,3,7,flight,51579.43
New York,6,8,bus,547304.82
Dubai,11,7,bus,553116.65
Goa,11,2,bus,43652.94
Delhi,6,6,train,59426.51
Singapore,9,8,bus,617259.58
Paris,4,7,bus,399924.58
New York,5,1,flight,91461.95
Manali,7,1,train,13128.83
Manali,6,5,train,57132.48
Singapore,3,4,bus,117189.33
Tokyo,7,5,flight,669611.42
Singapore,3,4,train,137499.1
Paris,9,6,bus,713944.4
Goa,3,5,flight,54213.55
Goa,10,1,bus,19731.94
Jaipur,2,4,bus,12597.52
New York,5,5,train,342290.06
Bali,8,2,flight,207234.8
New York,9,8,bus,798318.97
Tokyo,11,6,train,899527.04
Manali,3,5,bus,26281.51
Goa,11,4,bus,87527.29
Singapore,5,5,flight,361322.67
Mumbai,12,1,train,23051.11
Singapore,4,1,bus,37269.83
Manali,12,5,train,108800.73
New York,9,5,bus,491658.31
Singapore,10,7,flight,944696.82
Bali,12,6,flight,926261.3
Dubai,6,5,flight,354878.11
Delhi,7,5,flight,77049.92
Manali,6,5,bus,47541.66
Jaipur,2,7,flight,34869.74
Goa,2,8,train,46303.39
Paris,8,7,flight,1168743.13
Dubai,5,6,flight,368463.56
Singapore,10,8,flight,1088051.44
Manali,4,3,train,23428.71
Goa,6,3,flight,59961.79
Singapore,3,4,train,137548.77
Manali,8,6,train,87596.22
Manali,9,2,train,32370.68
Singapore,11,2,train,223935.98
Bali,3,7,flight,308554.59
Mumbai,4,3,bus,21242.76
Dubai,9,3,train,234117.91
Goa,3,8,train,64492.53
Goa,7,1,bus,14284.92
Jaipur,4,3,train,19697.11
Delhi,4,7,flight,65774.16
Paris,9,7,bus,821007.69
Jaipur,7,1,train,10792.53
Bali,5,1,flight,67626.28
Jaipur,5,6,train,46931.67
Paris,10,5,bus,647747.1
Mumbai,6,5,train,60259.07
Dubai,10,6,train,517149.97
Goa,7,8,train,135650.27
Goa,8,1,bus,16041.72
Goa,5,1,flight,16782.83
Delhi,7,1,train,11604.63
Manali,10,1,flight,24804.48
Singapore,3,1,bus,29641.53
Paris,9,7,bus,833734.7
Tokyo,4,4,flight,328248.93
Mumbai,6,7,flight,111762.43
Bali,6,3,train,181331.06
Delhi,10,2,train,31580.03
Delhi,9,4,flight,77460.93
Manali,10,4,train,72861.99
Manali,4,1,flight,10670.58
Jaipur,9,6,bus,67873.14
Singapore,3,2,flight,94097.23
Goa,3,2,flight,21826.42
Manali,12,4,train,87281.05
Manali,6,8,bus,75951.07
Goa,2,5,train,29413.75
New York,8,2,bus,178319.43
Mumbai,2,3,flight,19403.81
New York,7,8,flight,984548.78
Delhi,7,6,bus,57844.51
Paris,9,5,train,703610.81
Tokyo,8,3,bus,283586.21
Mumbai,4,2,train,16946.52
Tokyo,11,8,bus,1033299.42
New York,11,1,flight,190881.24
Goa,9,8,bus,146042.64
Tokyo,2,2,train,69220.33
Mumbai,12,4,flight,124334.43
Bali,10,2,train,192630.01
Jaipur,9,6,flight,110009.77
Paris,4,1,bus,57557.8
Goa,10,8,train,189517.3
Delhi,9,6,bus,73447.99
Manali,2,4,flight,24431.59
Paris,5,2,train,163575.66
Dubai,9,2,train,154154.82
Delhi,9,1,bus,12268.11
Mumbai,10,1,bus,16437.13
Dubai,12,5,flight,684377.38
Singapore,12,8,train,957458.52
Mumbai,5,8,train,81506.82
